Date/Time,Word Count,en,es
2023.12.04-00.42.27,0,0,0
2023.12.04-00.47.24,1765,1765,0
2023.12.04-00.58.01,1765,1765,61
2023.12.04-01.08.22,1765,1765,62
2023.12.04-02.33.15,1772,1772,62
2023.12.04-02.37.20,1772,1772,68
2023.12.04-02.38.38,1772,1772,71
2023.12.07-11.28.22,1794,1794,59
2023.12.07-11.30.35,1794,1794,76
2023.12.07-11.36.03,1794,1794,85
